"filename", "language", "Properties", "JavaScript", "Markdown", "JSON", "YAML", "HTML", "Stylus", "CSS", "Vue", "comment", "blank", "total"
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/plugin-dist/vue-mapbox.umd.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/estudosdecaso.json", "JSON", 0, 0, 0, 4959, 0, 0, 0, 0, 0, 0, 0, 4959
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/geojson.example.json", "JSON", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 155
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/geojson2.example.json", "JSON", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 116
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/municipio.json", "JSON", 0, 0, 0, 5579, 0, 0, 0, 0, 0, 0, 1, 5580
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/municipio_zoom_6.json", "JSON", 0, 0, 0, 5577, 0, 0, 0, 0, 0, 0, 1, 5578
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/municipio_zoom_8.json", "JSON", 0, 0, 0, 5579, 0, 0, 0, 0, 0, 0, 1, 5580
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/geojson/municipio_zoom_teste.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/public/index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 474, 6, 33, 513
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/Layers/VmLayerClustersDonuts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 23, 9, 13, 45
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/Layers/VmLayerVector.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 23, 9, 13, 45
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/Markers/VmMarkerDonut.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 177, 27, 32, 236
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/Sources/VmSourceGeoJson.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 89, 34, 17, 140
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/VmImage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 2, 27
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/VmLayer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 617, 117, 187, 921
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/VmMarker.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 369, 98, 63, 530
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/VmPopup.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 191, 52, 26, 269
"/Users/le/PROJETOS/SIGWEBPANGEA/vue-mapbox/src/components/VmSource.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 11, 16, 90
